Time, Quadrant, Color, Event Type
85.04362222222223, 2, orange, Entry
85.07691111111112, 2, orange, Exit
85.14364444444445, 4, orange, Entry
85.77583333333334, 1, orange, Entry
85.77583333333334, 4, orange, Exit
85.80911111111112, 1, orange, Entry
85.84238888888889, 1, orange, Exit
85.94222222222223, 4, orange, Entry
86.04205555555556, 4, orange, Exit
86.10861111111112, 4, orange, Entry
86.17516666666667, 1, orange, Entry
86.17516666666667, 4, orange, Exit
86.20844444444445, 1, orange, Entry
87.37352222222222, 1, orange, Exit
87.37352222222222, 3, orange, Entry
87.57325555555556, 2, orange, Entry
87.57325555555556, 3, orange, Exit
87.60654444444445, 1, orange, Entry
89.77007777777779, 1, white, Entry
89.86994444444444, 1, white, Exit
89.86994444444444, 1, orange, Exit
89.90323333333333, 1, orange, Entry
90.50234444444445, 1, orange, Exit
90.53562222222223, 1, orange, Entry
91.06806666666667, 1, white, Entry
91.16801111111111, 1, white, Exit
92.7324888888889, 1, white, Entry
92.86564444444446, 1, white, Exit
94.29685555555557, 1, orange, Exit
94.33014444444444, 1, orange, Entry
95.12896666666667, 1, orange, Exit
95.16224444444445, 1, orange, Entry
95.29535555555556, 1, orange, Exit
95.32863333333334, 1, orange, Entry
96.1941, 1, orange, Exit
96.26067777777779, 1, orange, Entry
97.85831111111112, 1, white, Entry
97.92490000000001, 1, orange, Exit
97.95825555555557, 1, orange, Entry
97.99145555555556, 1, white, Exit
97.99145555555556, 2, white, Entry
98.09132222222223, 2, white, Exit
99.38933333333334, 1, white, Entry
99.4227, 1, yellow, Exit
99.45606666666667, 1, yellow, Entry
99.48927777777779, 1, white, Exit
99.52248888888889, 1, white, Entry
99.62242222222223, 1, white, Exit
99.62242222222223, 1, yellow, Exit
99.62242222222223, 3, yellow, Entry
104.11595555555556, 1, white, Entry
104.14924444444445, 1, white, Exit
104.78163333333333, 1, white, Entry
104.81491111111112, 1, white, Exit
104.9813, 1, white, Entry
105.08113333333334, 1, white, Exit
105.1476888888889, 1, white, Entry
105.21424444444445, 1, white, Exit
105.24752222222223, 1, white, Entry
105.28092222222223, 1, white, Exit
105.54723333333334, 1, white, Entry
105.58052222222223, 1, white, Exit
105.71367777777779, 1, white, Entry
105.74696666666667, 1, white, Exit
105.91341111111112, 1, white, Entry
